synset,word,prob,predict,target
Synset('news.n.01'),intelligence,0.91,1,1
Synset('inversion.n.08'),inversion,0.48,0,1
Synset('executive_clemency.n.01'),executive clemency,0.06,0,0
Synset('respect.n.03'),esteem,0.83,1,1
Synset('respect.n.03'),regard,0.94,1,1
Synset('position.n.06'),spot,0.97,1,1
Synset('position.n.06'),place,0.93,1,1
Synset('message.n.02'),content,0.91,1,1
Synset('message.n.02'),substance,0.94,1,1
Synset('arrest.n.02'),check,0.99,1,1
Synset('arrest.n.02'),stoppage,0.88,1,1
Synset('motivation.n.01'),motive,0.99,1,1
Synset('nose_cone.n.01'),nose cone,0.58,1,0
Synset('alcalde.n.01'),alcalde,0.27,0,0
Synset('multitude.n.03'),multitude,0.99,1,1
Synset('multitude.n.03'),hoi polloi,0.95,1,1
Synset('book.n.02'),book,0.91,1,1
Synset('military_position.n.01'),position,0.42,0,0
Synset('power.n.05'),force,0.98,1,1
Synset('pace.n.03'),pace,0.99,1,1
Synset('american_labor_party.n.01'),American Labor Party,0.04,0,0
Synset('lady's_smock.n.01'),cuckooflower,0.02,0,0
Synset('clasp.n.02'),grip,0.07,0,0
Synset('form.n.03'),form,0.96,1,1
Synset('distaff.n.01'),distaff,0.36,0,0
Synset('pinnacle.n.03'),pinnacle,0.47,0,0
Synset('direction.n.06'),direction,0.97,1,1
Synset('shape.n.01'),conformation,0.96,1,1
Synset('movie.n.01'),movie,0.88,1,1
Synset('movie.n.01'),picture,0.96,1,1
Synset('movie.n.01'),picture show,0.99,1,1
Synset('impudence.n.01'),impertinence,0.02,0,0
Synset('movement.n.04'),social movement,0.86,1,1
Synset('esteem.n.01'),esteem,0.41,0,0
Synset('viewing_audience.n.01'),TV audience,0.13,0,0
Synset('handle.n.01'),handle,0.99,1,1
Synset('latest.n.01'),latest,0.69,1,1
Synset('rate.n.01'),rate,0.97,1,1
Synset('monetary_value.n.01'),price,0.91,1,0
Synset('monetary_value.n.01'),cost,0.9,1,0
Synset('test.n.05'),run,0.7,1,1
Synset('peroration.n.02'),peroration,0.23,0,0
Synset('light.n.01'),light,0.64,1,1
Synset('fall.n.06'),downfall,0.6,1,1
Synset('stationary_stochastic_process.n.01'),stationary stochastic process,0.1,0,0
Synset('assessment.n.03'),assessment,0.44,0,1
Synset('touch.n.10'),tactile sensation,0.98,1,1
Synset('pommel.n.01'),pommel,0.29,0,0
Synset('descant.n.01'),descant,0.13,0,0
Synset('increase.n.03'),increment,0.97,1,1
Synset('increase.n.03'),growth,0.98,1,1
Synset('reaction.n.03'),reaction,0.99,1,1
Synset('weather.n.01'),atmospheric condition,0.82,1,1
Synset('helpmate.n.01'),helpmate,0.68,1,1
Synset('bill.n.03'),banker's bill,0.98,1,1
Synset('bill.n.03'),bank note,1.0,1,1
Synset('hegemon.n.01'),hegemon,0.29,0,0
Synset('car.n.01'),auto,0.91,1,1
Synset('car.n.01'),machine,0.89,1,1
Synset('hit.n.03'),smasher,0.7,1,1
Synset('doggedness.n.01'),doggedness,0.01,0,0
